CourseID,Title,Provider,Level,DurationHours,Description,CoversSkills
C001,Python for Data Analysis,DataCamp,Beginner,20,"Write clean scripts, wrangle tabular data with pandas, and automate repetitive reporting work end to end.",Python
C002,Statistical Programming in R,Coursera,Intermediate,24,"Model and visualise experimental results using the tidyverse, from raw readings to a publication-ready figure.",R
C003,Applied Statistics with SPSS,IBM SkillsBuild,Beginner,16,"Run hypothesis tests, regression and survival analysis through a point-and-click workflow aimed at researchers.",IBM SPSS Statistics
C004,SAS Programming Essentials,SAS Institute,Beginner,18,Manipulate large clinical and operational datasets using DATA steps and PROC procedures.,SAS
C005,Numerical Computing and Simulation,MathWorks,Intermediate,22,"Build and validate numerical models, solve systems of equations and visualise simulation output.",MATLAB|Mathematics
C006,Deploying and Monitoring Cloud Workloads,A Cloud Guru,Intermediate,30,"Provision compute and storage, wire up managed services, and keep production systems observable and costed.",Amazon Web Services (AWS)|Microsoft Azure
C007,Distributed Data Processing at Scale,Cloudera,Advanced,28,"Process datasets far larger than memory across a cluster, covering storage formats, partitioning and job tuning.",Apache Hadoop
C008,Linux Command Line and Shell Scripting,Linux Foundation,Beginner,14,"Navigate a server confidently, chain utilities together and automate routine administration.",Linux
C009,Relational Databases and Query Design,Coursera,Beginner,18,"Design normalised tables, write efficient queries and reason about indexes and joins.",Microsoft Access|Oracle HRIS
C010,Advanced Spreadsheet Modelling,Microsoft Learn,Intermediate,12,"Build maintainable financial and operational models using lookup functions, pivot tables and what-if analysis.",Microsoft Excel
C011,Business Documents That Get Read,LinkedIn Learning,Beginner,8,"Structure long-form documents with styles, templates and review workflows so they survive collaborative editing.",Microsoft Word|Google Docs
C012,Presenting Data to Decision Makers,LinkedIn Learning,Beginner,10,"Turn analysis into a narrative a busy executive can follow, with slide design and delivery practice.",Microsoft PowerPoint|Speaking
C013,Productivity Suite Fundamentals,Microsoft Learn,Beginner,10,"Get fluent across the everyday toolset - documents, spreadsheets, slides, mail and shared drives.",Microsoft Office|Google Workspace|Microsoft Outlook|Email
C014,Team Knowledge Bases and Intranets,Atlassian,Beginner,8,Organise shared documentation so information can actually be found six months later.,Microsoft SharePoint|Atlassian Confluence
C015,Running Effective Remote Meetings,LinkedIn Learning,Beginner,6,"Facilitate distributed sessions that stay on track, including recording, breakouts and follow-up.",Cisco Webex|Active Listening
